Core GC Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GC Distribution Metadata,,,,,Open Science Specific Metadata,,,,,
Title English,Title French,Organization - Current Title,Organization - Title at Time of Publication,"Creator - authors in format, surname, initials;",Contact Email,Description English,Description French,Keywords English,Keywords French,Subject,Spatial,Geographic Region Name,Temporal,Issuance,Frequency of Issuance,Date Published,Date Modified,Date Created,Date Captured,Date Valid,Date Copyrighted ,Edition,Series Dates of Publication and/or Sequential Designation English,Series Dates of Publication and/or Sequential Designation French,Series Title English,Series Title French,Series Number,ISBN,ISSN,DOI,Related Items,Licence,Content Type,Format,Size,Language,Download URL,Embargo Period,Page start,Page end,Editors,City,Plain language summary
The OSIRIS-REX laser altimeter,,Canadian Space Agency,,"Daly, M., Barnouin, O., Johnson, C., Dickinson, C., Haltigin, T., Lauretta, D.",asc.gouvernementouvert-opengovernment.csa@canada.ca,The OSIRIS-REX Laser Altimeter (OLA) is a scanning laser altimeter onboard the NASA mission to the near-Earth asteroid 101955 Bennu. We will describe the operation and unique capabilities of the instrument for an asteroid mission.,,Asteroids; Meteorological instruments; NASA; Radio altimeters; Laser altimeters; Near-Earth asteroids; Scanning lasers,,ST Science and Technology,,,,,,2017,,,,,2017,,,,CLEO: Applications and Technology 2017,,,978194358027-9,,10.1364/CLEO_AT.2017.AM2A.4,,,Conference paper,PDF,,English,,,AM2A.4,,OSA,"San Jose, California, USA",
The OSIRIS-REX laser altimeter (OLA) investigation and instrument,,Canadian Space Agency,,"Daly, M., Barnouin, O., Dickinson, C., Seabrook, J., Johnson, C.L., Cunningham, G., Haltigin, T., Gaudreau, D., Brunet, C., Aslam, I., Taylor, A., Bierhaus, E.B., Boynton, W., Nolan, M., Lauretta, D.S.",asc.gouvernementouvert-opengovernment.csa@canada.ca,"The Canadian Space Agency (CSA) has contributed to the Origins Spectral Interpretation Resource Identification Security-Regolith Explorer (OSIRIS-REx) spacecraft the OSIRIS-REx Laser Altimeter (OLA). The OSIRIS-REx mission will sample asteroid 101955 Bennu, the first B-type asteroid to be visited by a spacecraft. Bennu is thought to be primitive, carbonaceous, and spectrally most closely related to CI and/or CM meteorites. As a scanning laser altimeter, the OLA instrument will measure the range between the OSIRIS-REx spacecraft and the surface of Bennu to produce digital terrain maps of unprecedented spatial scales for a planetary mission. The digital terrain maps produced will measure ?7cm per pixel globally, and ?3cm per pixel at specific sample sites. In addition, OLA data will be used to constrain and refine the spacecraft trajectories. Global maps and highly accurate spacecraft trajectory estimates are critical to infer the internal structure of the asteroid. The global and regional maps also are key to gain new insights into the surface processes acting across Bennu, which inform the selection of the OSIRIS-REx sample site. These, in turn, are essential for understanding the provenance of the regolith sample collected by the OSIRIS-REx spacecraft. The OLA data also are important for quantifying any hazards near the selected OSIRIS-REx sample site and for evaluating the range of tilts at the sampling site for comparison against the capabilities of the sample acquisition device.",,Asteroids; Meteorological instruments; NASA; Radio altimeters; Laser altimeters; Near-Earth asteroids; Scanning lasers; Bennu; Lidar,,ST Science and Technology,,,,,,2017,,,,,2017,,,,Space Science Reviews,,212-1,,0038-6308,10.1007/s11214-017-0375-3,,,Article,PDF,6544925,English,https://link.springer.com/article/10.1007%2Fs11214-017-0375-3,,899,924,Springer,,
Uncooled midwave infrared sensors for spaceborne assessment of fire characteristics,,Canadian Space Agency,,"Ngo Phong, L., Picard, F., Paultre, J.-E., Généreux, F., Dufour, D., Châteauneuf, F.",asc.gouvernementouvert-opengovernment.csa@canada.ca,"Spaceborne assessment of fire characteristics relies on radiance measurement of fire pixels and non-fire pixels mainly in the midwave infrared (MWIR). Because ambient temperature non-fire pixels have low thermal emission in this spectral range, it remains a challenge to retrieve fire characteristics with the desired accuracy. This paper reports on uncooled microbolometers specially designed with low noise equivalent power (NEP) to enable fire diagnosis at MWIR wavelengths. Each microbolometer forming a 512x3 format array includes a Wheatstone bridge of one active, one blind, and two thermally shunted pixels followed by its own signal chain. Design analyses suggest the conditions for achieving the best NEP performance are: (i) the active, blind, and one shunt pixel have equal electrical resistances while the other shunt pixel has a larger resistance; (ii) the temperature difference between the active pixel and heat sink corresponds to about one-third the heat sink temperature; and (iii) the active and blind pixels have low thermal mass and conductance. Hardwired devices having different structural layouts were prepared for the validation of physical parameters and performance so that the suitable designs could be identified. After this, focal planes of 512x3 microbolometers were fabricated on readout electronics to allow further performance evaluation and development of staggered 1017x3 format arrays for a planned mission. The active pixel designs on the fabricated arrays exhibit a MWIR absorptance as high as 0.83 through implementation of a Salisbury screen absorber, a thermal conductance of ? 67 nW/K, and a response time shorter than 10 ms. Their responsivities are found to be in good agreement with predictions of the design analysis. The effectiveness of an Al shield platform erected above the blind pixel was investigated, showing that certain designs are capable of attenuating the incident power by up to 24 times. Under optimal operating conditions an NEP of ? 64 pW was derived from measurements in the spectral range of 3.4-4.2 um, which was corroborated by the probing results obtained on the on-wafer focal plane arrays. When using these arrays with an F/1 telescope to retrieve scenes of 400 K from low Earth orbits, a noise equivalent temperature difference of ? 320 mK can be achieved.",,Figures-of-merit; Fire metrology; Microbolometer; Midwave infrared,,ST Science and Technology,,,,,,20/02/2017,,,,,2017,,,,MOEMS and Miniaturized Systems XVI 2017,,16th,978151060673-9,0277-786X,10.1117/12.2250968,,,Conference paper,PDF,729505,English,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10116/1/Uncooled-midwave-infrared-sensors-for-spaceborne-assessment-of-fire-characteristics/10.1117/12.2250968.full?SSO=1,,101160N,,SPIE,"San Francisco, California, USA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
